Artist Reputation,Height,Width,Weight,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location,Cost
0.98,23.0,12.0,384282.0,Marble,3558.24,26.41,No,No,No,Roadways,No,Working Class,No,20565.21
0.23,23.0,13.0,36456.0,Brass,20.03,26.8,No,No,Yes,Roadways,No,Working Class,No,514.59
0.04,18.0,8.0,47782.0,Marble,154.26,37.48,No,Yes,No,Airways,No,Working Class,No,417.41
0.82,16.0,8.0,3102.0,Bronze,9.51,16.02,No,No,No,Roadways,No,Working Class,,1582.25
0.62,29.0,9.0,583676.0,Stone,383.13,48.71,Yes,No,Yes,Airways,No,Wealthy,No,7669.75
0.51,12.0,7.0,21370.0,Marble,62.1,26.13,No,No,Yes,Waterways,No,Working Class,No,896.85
0.52,14.0,8.0,185.0,Wood,3.18,16.39,Yes,No,No,,No,Working Class,No,206.26
0.69,18.0,7.0,1405.0,Clay,9.8,22.24,No,Yes,Yes,Roadways,Yes,Wealthy,No,1193.7
0.59,25.0,9.0,749116.0,Stone,1690.0,82.52,Yes,No,No,Waterways,No,Working Class,No,3570.27
0.0,6.0,4.0,4219.0,Stone,6.35,11.89,No,Yes,No,Airways,No,Working Class,No,-184.03
0.16,20.0,11.0,2797.0,,3.03,14.31,Yes,Yes,No,Airways,No,Working Class,,-184.31
0.29,20.0,9.0,1382.0,,4.98,15.04,No,No,Yes,,Yes,Wealthy,No,224.14
0.36,30.0,12.0,1609.0,Aluminium,5.48,21.84,No,No,No,Roadways,No,Working Class,No,240.43
0.61,45.0,10.0,1553870.0,,8896.48,61.24,Yes,No,No,Roadways,Yes,Working Class,,263026.46
0.6,5.0,4.0,151.0,Bronze,5.42,14.98,No,Yes,Yes,Roadways,No,Wealthy,No,261.23
0.35,34.0,21.0,7593.0,,22.76,98.8,No,Yes,Yes,Airways,Yes,Working Class,,1308.13
0.45,18.0,9.0,779.0,Aluminium,3.29,23.74,Yes,No,No,Waterways,No,Working Class,Yes,588.87
0.63,37.0,16.0,29913.0,Bronze,34.1,83.6,No,No,Yes,Airways,No,Working Class,Yes,2504.65
0.03,23.0,13.0,36927.0,,132.17,63.39,No,No,Yes,Roadways,No,Working Class,No,593.03
0.47,44.0,14.0,2158679.0,Marble,3836.83,61.53,No,No,Yes,Waterways,Yes,Wealthy,No,13418.01
0.07,21.0,7.0,122697.0,Stone,77.24,37.52,No,No,Yes,,No,Working Class,No,660.4
0.2,22.0,9.0,3102.0,Aluminium,4.3,18.43,No,Yes,No,Airways,No,Working Class,,160.74
0.34,20.0,8.0,3102.0,Bronze,6.29,24.77,Yes,No,No,,No,Working Class,No,269.24
0.13,5.0,3.0,14.0,Wood,6.13,13.22,No,No,Yes,,No,Working Class,No,113.67
0.46,22.0,9.0,1252.0,Clay,3.82,17.11,No,No,Yes,Roadways,Yes,Working Class,No,242.76
0.24,15.0,8.0,4343.0,,4.73,10.7,Yes,No,No,Airways,No,Working Class,,-196.92
0.32,34.0,21.0,9266.0,Clay,12.97,86.36,Yes,No,Yes,Waterways,Yes,Wealthy,,-1041.98
0.47,20.0,8.0,4480.0,Bronze,12.83,19.77,Yes,Yes,No,Airways,No,Working Class,Yes,352.98
0.41,27.0,8.0,13585.0,Bronze,42.5,51.43,No,No,No,Roadways,No,Wealthy,Yes,775.22
0.54,32.0,11.0,821575.0,Marble,3774.17,97.03,No,No,No,Waterways,No,Working Class,No,11359.58
0.78,25.0,20.0,30323.0,Brass,240.15,31.58,No,No,No,Roadways,No,Working Class,No,1592.32
0.38,23.0,10.0,15641.0,Brass,17.68,54.93,No,Yes,No,Roadways,No,Working Class,No,621.83
0.45,20.0,15.0,3102.0,Stone,5504.54,88.76,No,No,No,,No,Working Class,No,33344.73
0.4,41.0,19.0,1740453.0,,3375.01,85.05,No,Yes,Yes,Airways,Yes,Working Class,No,24091.25
0.58,15.0,6.0,44125.0,Stone,86.41,88.26,No,Yes,No,,No,Working Class,No,-3280.77
0.26,30.0,6.0,9675.0,Bronze,6.26,28.96,Yes,Yes,No,Airways,No,Wealthy,No,402.79
0.5,15.0,6.0,3102.0,Brass,6.63,10.62,No,Yes,Yes,Airways,No,Working Class,No,299.77
0.45,34.0,15.0,2262530.0,,2747.24,50.47,Yes,No,No,,No,Working Class,No,16886.31
0.29,20.0,9.0,766.0,,6.46,24.27,No,Yes,No,Airways,No,Working Class,No,207.27
0.16,52.0,32.0,29869.0,Clay,45.19,80.44,No,Yes,Yes,Airways,Yes,Wealthy,Yes,1578.14
0.45,18.0,6.0,188.0,Wood,5.19,21.53,No,Yes,Yes,Airways,No,Wealthy,No,255.78
0.03,14.0,6.0,835.0,Clay,5.52,23.0,No,No,Yes,Airways,Yes,Working Class,No,183.2
0.54,28.0,8.0,666.0,Aluminium,4.11,24.26,Yes,No,No,Waterways,No,Working Class,,334.75
0.36,27.0,15.0,46620.0,Brass,85.13,52.04,No,Yes,No,Roadways,No,Working Class,No,1485.05
0.08,12.0,8.0,1258.0,,4.44,15.2,No,Yes,Yes,,No,Working Class,No,161.82
0.68,13.0,8.0,775.0,Clay,5.56,19.03,Yes,No,No,Roadways,Yes,Working Class,No,417.27
0.96,18.0,7.0,123.0,Wood,4.28,22.25,Yes,No,Yes,Airways,No,Working Class,,-705.98
0.04,18.0,9.0,538.0,Aluminium,3.66,11.86,No,Yes,No,Airways,No,Working Class,No,111.11
0.64,38.0,20.0,11196264.0,Stone,16819.89,75.61,No,No,Yes,Roadways,No,Working Class,No,-54076.65
0.54,28.0,18.0,4450354.0,,11133.3,67.2,Yes,Yes,No,,No,Wealthy,Yes,104097.16
0.8,7.0,4.0,990.0,Marble,3.81,18.21,No,Yes,No,Airways,No,Working Class,No,344.19
0.71,30.0,11.0,12261.0,Bronze,38.44,68.29,Yes,Yes,Yes,Airways,No,Wealthy,No,-2394.62
0.89,10.0,4.0,43.0,,6.37,17.59,No,No,Yes,,No,Wealthy,No,-498.95
0.03,11.0,6.0,317.0,Aluminium,4.31,15.61,No,No,No,,No,Wealthy,No,-122.98
0.78,26.0,7.0,10936.0,Brass,61.1,98.71,Yes,Yes,Yes,Airways,No,Working Class,No,-3867.84
0.59,12.0,8.0,72044.0,Stone,216.85,58.25,No,Yes,Yes,,No,Working Class,No,1738.1
0.38,14.0,6.0,770.0,Clay,3.2,10.41,No,No,No,Roadways,Yes,Wealthy,Yes,156.74
0.93,28.0,8.0,8323.0,Bronze,97.9,62.67,No,Yes,No,Airways,No,Wealthy,No,26566.78
0.16,33.0,20.0,5589.0,Clay,7.28,42.87,No,Yes,Yes,Roadways,Yes,Working Class,No,417.28
0.38,43.0,14.0,1718.0,Aluminium,5.06,20.6,Yes,No,Yes,Waterways,No,Working Class,No,323.05
0.02,19.0,7.0,100122.0,Marble,133.66,59.67,Yes,No,No,Waterways,No,Working Class,No,479.98
0.45,27.0,8.0,15609.0,Brass,70.4,60.59,Yes,No,Yes,Waterways,No,Working Class,No,1577.34
0.16,34.0,7.0,243265.0,Marble,171.37,75.61,No,No,No,Airways,No,Wealthy,Yes,-1111.3
0.59,22.0,10.0,21928.0,,115.41,26.53,No,Yes,Yes,Roadways,No,Working Class,Yes,1142.51
0.45,12.0,8.0,174.0,Wood,3.8,19.44,Yes,No,Yes,,No,Working Class,No,255.02
0.82,24.0,10.0,3102.0,,4.47,22.46,No,No,Yes,,No,Working Class,No,661.95
0.56,10.0,5.0,1307.0,Bronze,4.58,11.01,No,Yes,Yes,Roadways,No,Working Class,No,247.41
0.28,20.0,12.0,155174.0,Marble,513.98,39.56,No,Yes,No,Airways,No,Wealthy,No,2971.46
0.03,24.0,7.0,3033.0,Brass,5.3,11.84,Yes,No,No,Waterways,No,Working Class,No,146.94
0.88,17.0,9.0,149924.0,,446.88,59.51,No,Yes,No,Roadways,No,Working Class,No,7548.39
0.41,20.0,5.0,3102.0,Bronze,6.46,22.29,No,No,No,Airways,No,Working Class,No,219.89
0.25,21.0,8.0,9826.0,Bronze,42.35,70.57,No,No,No,Waterways,No,Wealthy,,609.78
0.27,29.0,6.0,2193.0,Clay,7.01,21.92,No,No,No,Roadways,Yes,Working Class,No,210.36
0.35,25.0,9.0,1168.0,Aluminium,5.91,10.07,No,No,No,,No,Working Class,,136.62
0.4,12.0,6.0,3102.0,Wood,5.48,18.9,No,Yes,No,Roadways,No,Wealthy,Yes,214.18
0.15,25.0,17.0,715.0,Wood,4.07,20.28,No,No,Yes,Roadways,No,Working Class,No,178.93
0.42,35.0,11.0,571.0,Wood,4.26,10.68,No,No,No,Roadways,No,Working Class,No,142.34
0.57,19.0,9.0,135418.0,Marble,201.32,29.74,Yes,No,Yes,Airways,No,Working Class,No,1698.04
0.49,20.0,6.0,4035.0,Brass,6.09,14.06,Yes,No,No,Airways,No,Wealthy,No,312.61
0.45,29.0,15.0,2492.0,Aluminium,6.34,13.86,No,Yes,Yes,Airways,No,Wealthy,No,203.03
0.36,20.0,11.0,313206.0,Marble,507.97,98.76,Yes,No,No,,No,Working Class,No,3048.99
0.63,20.0,8.0,7744.0,Bronze,28.08,70.21,No,Yes,No,,No,Wealthy,Yes,1262.56
0.02,7.0,5.0,507.0,Bronze,5.7,15.36,No,No,No,Roadways,No,Working Class,No,116.56
0.17,24.0,7.0,80899.0,,101.27,84.17,No,Yes,No,Roadways,No,Wealthy,No,767.03
0.45,15.0,8.0,156.0,Aluminium,4.07,14.84,No,No,Yes,Airways,No,Working Class,No,430.76
0.45,22.0,13.0,8000.0,Brass,30.54,58.4,Yes,Yes,No,Airways,No,Working Class,No,2229.0
0.22,4.0,4.0,274.0,Brass,6.52,17.61,Yes,No,No,Waterways,No,Working Class,Yes,174.61
0.18,15.0,6.0,3347.0,,15.71,19.33,Yes,No,No,Waterways,No,Working Class,No,177.86
0.59,3.0,3.0,60.0,Brass,4.51,23.77,No,No,No,Roadways,No,Working Class,No,216.49
0.64,12.0,8.0,285.0,Aluminium,3.62,21.02,No,No,No,Roadways,No,Working Class,No,-248.57
0.7,33.0,10.0,27633.0,Brass,97.91,66.81,No,Yes,No,Roadways,No,Working Class,No,8312.91
0.45,6.0,5.0,101.0,Aluminium,4.25,24.09,No,Yes,No,Roadways,No,Wealthy,No,159.8
0.43,9.0,4.0,36.0,Aluminium,5.35,15.82,No,No,Yes,Roadways,No,Working Class,No,193.79
0.06,30.0,8.0,425547.0,Marble,163.67,71.61,Yes,Yes,Yes,Airways,No,Wealthy,Yes,1517.82
0.45,6.0,8.0,97.0,,3.64,22.77,Yes,No,Yes,Waterways,No,Working Class,,239.58
0.75,26.0,8.0,2088.0,Clay,4.02,20.7,No,No,No,Roadways,Yes,Working Class,,-524.64
0.45,44.0,26.0,17390.0,Clay,75.27,57.68,No,No,Yes,Roadways,Yes,Working Class,No,6650.68
0.49,25.0,6.0,193583.0,Stone,536.91,85.9,Yes,No,No,Waterways,No,Working Class,No,3839.83
0.21,3.0,3.0,44.0,,4.84,14.02,No,No,No,Roadways,No,Wealthy,No,142.29
0.65,24.0,12.0,422038.0,Marble,493.17,69.84,Yes,No,No,,No,Working Class,,3963.05
0.37,36.0,8.0,3102.0,Marble,115.03,32.88,No,No,No,,Yes,Working Class,No,750.13
0.24,12.0,6.0,2938.0,Brass,5.38,11.37,Yes,Yes,Yes,Airways,No,Wealthy,No,245.96
0.45,46.0,9.0,3102.0,Brass,198.45,70.06,No,No,No,Waterways,No,Working Class,Yes,937.75
0.69,11.0,7.0,3038.0,Brass,6.82,11.16,No,No,No,Waterways,No,Working Class,No,268.46
0.45,7.0,5.0,627.0,,4.0,20.07,Yes,Yes,No,,No,Wealthy,,380.87
0.65,17.0,6.0,3102.0,,3.35,13.5,No,No,Yes,Roadways,No,Working Class,No,-257.67
0.09,20.0,7.0,564.0,Aluminium,4.2,18.25,Yes,No,No,Airways,No,Wealthy,No,161.69
0.53,19.0,8.0,8727.0,Brass,20.25,51.35,No,Yes,No,Airways,No,Working Class,,779.34
0.85,19.0,17.0,1592885.0,Stone,14443.34,66.49,No,No,Yes,Airways,No,Working Class,Yes,38636.86
0.75,7.0,4.0,1985.0,Marble,12.59,14.01,No,No,No,Roadways,No,Working Class,No,268.94
0.6,9.0,4.0,138.0,Clay,6.1,22.7,No,No,Yes,Roadways,Yes,Working Class,No,310.78
0.33,31.0,15.0,758.0,Wood,4.39,19.4,Yes,No,No,,No,Working Class,No,193.24
0.29,18.0,7.0,99153.0,Stone,35.48,73.94,No,No,No,Waterways,No,Working Class,No,635.82
0.31,26.0,8.0,130282.0,,53.21,65.88,Yes,Yes,Yes,Airways,No,Working Class,,1485.94
0.06,7.0,4.0,3102.0,Clay,3.76,10.0,Yes,No,Yes,,Yes,Working Class,Yes,123.59
0.45,22.0,8.0,32708.0,Brass,188.71,53.99,Yes,No,Yes,Waterways,No,Working Class,No,1088.22
0.75,33.0,8.0,349.0,Wood,3.09,18.05,No,No,Yes,Roadways,No,Working Class,No,461.97
0.68,39.0,15.0,3996.0,Aluminium,11.76,22.39,No,Yes,Yes,,No,Working Class,No,-836.8
0.58,24.0,8.0,2116.0,,5.44,11.31,No,No,No,Waterways,Yes,Working Class,No,270.91
0.04,27.0,6.0,293.0,Wood,3.35,12.99,No,No,No,Roadways,No,Working Class,No,101.21
0.6,20.0,8.0,3102.0,Bronze,34.47,79.34,No,No,Yes,Airways,No,Working Class,No,1208.26
0.57,6.0,4.0,58.0,Clay,5.86,13.65,No,Yes,Yes,,Yes,Wealthy,No,247.92
0.24,31.0,10.0,18907.0,Bronze,44.15,84.24,No,No,Yes,Roadways,No,Wealthy,Yes,792.35
0.36,20.0,5.0,324.0,Bronze,3.51,12.03,No,No,No,,No,Working Class,Yes,152.67
0.22,23.0,9.0,136565.0,Marble,749.41,79.23,No,No,No,Roadways,No,Working Class,No,2535.89
0.11,28.0,16.0,593.0,Wood,4.68,16.82,No,No,No,Waterways,No,Working Class,,123.9
0.83,7.0,4.0,46.0,Wood,4.9,22.18,No,No,No,Airways,No,Working Class,No,277.6
0.45,7.0,4.0,1894.0,Marble,13.76,14.5,Yes,Yes,Yes,Airways,No,Wealthy,No,460.57
0.45,33.0,8.0,997.0,Wood,3.68,12.43,No,No,No,Waterways,No,Wealthy,,106.5
0.45,21.0,8.0,3102.0,,3.19,15.0,No,No,No,Airways,No,Wealthy,No,171.86
0.21,32.0,16.0,531.0,Wood,5.38,17.42,Yes,No,Yes,Airways,No,Wealthy,No,236.12
0.18,31.0,11.0,22502.0,Brass,15.29,74.66,Yes,No,Yes,Airways,No,Working Class,No,604.3
0.44,33.0,10.0,18473.0,Bronze,25.17,56.8,No,No,No,Roadways,No,Working Class,No,634.67
0.6,9.0,4.0,146.0,Clay,6.58,12.79,No,No,Yes,Airways,Yes,Working Class,No,276.04
0.92,30.0,14.0,796.0,Wood,5.02,15.62,Yes,No,No,Waterways,No,Working Class,,690.16
0.74,23.0,10.0,3287.0,Clay,12.81,13.25,Yes,No,No,Waterways,Yes,Wealthy,No,-422.42
0.57,48.0,15.0,4355.0,Aluminium,33.45,12.04,Yes,Yes,Yes,Airways,No,Working Class,No,686.84
0.18,39.0,20.0,44914.0,Bronze,84.26,74.78,No,No,Yes,Waterways,No,Wealthy,No,833.5
0.45,44.0,15.0,14821.0,Clay,32.01,74.6,No,No,Yes,Roadways,Yes,Working Class,No,5459.67
0.16,27.0,10.0,558393.0,Marble,1836.13,47.08,Yes,No,Yes,Roadways,No,Wealthy,No,2916.31
0.61,19.0,8.0,80935.0,Marble,251.46,84.07,No,No,No,Roadways,No,Working Class,No,1685.05
0.5,4.0,3.0,496.0,,6.78,24.65,No,No,Yes,,No,Working Class,No,321.41
0.02,23.0,14.0,10705.0,Bronze,18.7,82.23,Yes,No,No,Waterways,No,Working Class,No,369.0
0.26,48.0,28.0,133430.0,Bronze,609.74,60.06,Yes,No,Yes,Waterways,No,Working Class,No,2910.83
0.61,11.0,6.0,143.0,Aluminium,6.27,23.26,Yes,Yes,No,,No,Wealthy,No,419.21
0.52,13.0,7.0,112.0,Wood,3.06,10.25,No,No,No,Roadways,No,Working Class,No,148.45
0.45,36.0,28.0,110246.0,,55.3,43.43,Yes,Yes,No,,No,Wealthy,No,828.33
0.63,4.0,4.0,3102.0,,6.21,11.27,No,No,No,Roadways,Yes,Working Class,No,221.17
0.69,10.0,4.0,35.0,Wood,6.64,14.01,No,Yes,Yes,,No,Wealthy,Yes,371.17
0.58,8.0,5.0,195.0,Aluminium,6.13,15.05,Yes,No,No,Airways,No,Working Class,No,240.88
0.73,33.0,15.0,26774.0,Bronze,248.72,36.43,No,No,No,Roadways,No,Working Class,No,1597.99
0.38,14.0,7.0,37717.0,Marble,93.22,64.11,No,No,No,Roadways,No,Working Class,Yes,1477.63
0.31,19.0,8.0,3102.0,Stone,99.08,61.41,No,No,No,,No,Working Class,No,1011.59
0.15,23.0,6.0,4437.0,Bronze,14.19,10.18,No,Yes,No,,No,Working Class,No,165.67
0.11,10.0,4.0,299.0,Clay,3.54,11.5,No,No,Yes,Airways,Yes,Working Class,No,113.19
0.27,13.0,6.0,30392.0,Marble,50.45,53.23,Yes,No,No,Waterways,No,Working Class,Yes,497.43
0.41,29.0,7.0,10637.0,Brass,49.81,81.41,No,Yes,No,Airways,No,Wealthy,No,930.45
0.45,12.0,8.0,515.0,Clay,6.86,20.22,No,No,No,Waterways,Yes,Working Class,,191.72
0.63,14.0,8.0,1958.0,Bronze,6.85,18.74,No,No,Yes,,No,Working Class,No,376.3
0.52,47.0,23.0,283304.0,Brass,891.66,53.27,Yes,Yes,Yes,Airways,No,Wealthy,No,35577.03
0.52,15.0,6.0,554.0,Clay,6.76,23.44,No,Yes,No,Airways,Yes,Wealthy,No,328.72
0.99,31.0,15.0,3102.0,Aluminium,6.74,14.43,Yes,No,No,,No,Working Class,Yes,1169.38
0.79,20.0,8.0,3102.0,Stone,20.7,17.53,Yes,No,Yes,Waterways,No,Working Class,Yes,-450.25
0.94,17.0,8.0,7833.0,Brass,38.41,43.84,Yes,Yes,No,Airways,No,Working Class,No,1845.56
0.02,8.0,4.0,2835.0,Marble,6.74,18.69,No,No,No,Roadways,No,Working Class,Yes,190.6
0.94,31.0,8.0,283704.0,,569.36,87.85,No,No,No,Roadways,No,Working Class,No,14862.24
0.24,16.0,7.0,3102.0,Stone,541.45,57.75,No,Yes,No,Roadways,No,Working Class,No,2075.03
0.45,40.0,17.0,55175.0,Bronze,205.38,55.19,Yes,Yes,No,Airways,No,Working Class,,3223.78
0.25,20.0,7.0,43109.0,,49.84,26.83,No,No,Yes,Roadways,No,Wealthy,Yes,495.63
0.32,26.0,11.0,13638.0,,19.71,32.83,Yes,Yes,No,Airways,No,Wealthy,No,589.19
0.45,21.0,10.0,254.0,Wood,4.69,16.26,No,No,No,Roadways,No,Working Class,Yes,113.53
0.51,19.0,8.0,622.0,Aluminium,3.63,10.06,Yes,No,No,Airways,No,Working Class,No,163.48
0.38,3.0,2.0,13.0,Clay,6.72,23.81,Yes,No,Yes,Waterways,Yes,Working Class,No,199.6
0.73,12.0,7.0,28301.0,Marble,176.51,55.76,No,No,No,Roadways,No,Working Class,No,873.56
0.94,5.0,4.0,47.0,Aluminium,4.86,11.45,Yes,No,Yes,,No,Working Class,No,242.44
0.27,10.0,8.0,649.0,Bronze,5.09,18.59,No,No,No,Waterways,No,Working Class,,174.18
0.61,10.0,5.0,178.0,Aluminium,6.06,23.38,No,No,Yes,Roadways,No,Working Class,No,298.38
0.29,20.0,11.0,2404.0,Clay,7.58,16.59,Yes,No,No,Waterways,Yes,Working Class,No,233.23
0.13,22.0,8.0,3102.0,Bronze,14.25,51.46,No,No,No,,No,Working Class,,283.47
0.07,32.0,6.0,2250.0,Clay,4.87,18.44,No,Yes,No,Airways,Yes,Working Class,No,176.32
0.18,7.0,4.0,302.0,Brass,4.34,17.4,Yes,Yes,No,,No,Wealthy,No,203.45
0.89,20.0,17.0,3102.0,Aluminium,13.83,29.04,No,Yes,No,Roadways,No,Working Class,No,1791.26
0.45,10.0,4.0,61.0,Wood,3.81,14.71,No,Yes,No,Roadways,No,Working Class,Yes,138.14
0.73,38.0,9.0,596.0,Wood,3.16,23.83,No,No,No,Roadways,No,Working Class,No,552.59
0.79,19.0,6.0,453.0,Aluminium,6.97,12.74,No,Yes,No,Roadways,No,Wealthy,No,513.34
0.45,20.0,13.0,3102.0,,700.54,74.16,No,No,No,Airways,No,Wealthy,No,4847.22
0.6,20.0,8.0,3102.0,Bronze,34.47,79.34,No,No,Yes,Airways,No,Working Class,No,1208.26
0.34,13.0,8.0,6527.0,Brass,11.47,63.78,No,Yes,No,Airways,No,Wealthy,No,513.13
0.12,22.0,15.0,3029.0,Clay,8.8,20.45,Yes,Yes,No,Airways,Yes,Working Class,No,215.46
0.06,11.0,6.0,13393.0,Marble,23.84,45.47,Yes,No,No,Airways,No,Working Class,No,371.76
0.31,20.0,10.0,25336.0,Brass,58.33,93.01,No,Yes,No,,No,Working Class,,-918.76
0.65,12.0,8.0,1392.0,Bronze,6.99,10.95,No,No,Yes,Waterways,No,Working Class,No,327.47
